2022-11-18 10:09:04,154 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=航天科工火箭技术有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:09:31,042 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航空工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:09:34,348 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航空工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:09:37,705 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航空工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:10:21,311 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航空技术国际控股有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:10:56,498 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国船舶集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:10:59,754 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国船舶集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:11:14,996 - __main__ - INFO - Not Found:名称 中国船舶 (香港) 航运租赁有限公司
2022-11-18 10:12:17,464 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=重庆前卫科技集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:12:49,168 - __main__ - INFO - Not Found:名称 中船 (邯郸) 派瑞特种气体股份有限公司
2022-11-18 10:12:51,258 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=山西汾西重工有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:12:54,478 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=山西汾西重工有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:12:57,745 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=山西汾西重工有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:13:33,503 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=武汉重型机床集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:13:53,617 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=内蒙古北方重工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:13:56,980 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=内蒙古北方重工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:14:13,961 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国兵器装备集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:14:58,079 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=华中药业股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:16:13,252 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国电子科技网络信息安全有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:16:16,489 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国电子科技网络信息安全有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:16:40,162 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科能源有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:16:44,890 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科能源有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:17:42,986 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中电科机器人有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:24:42,715 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:24:45,938 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:24:49,180 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:24:52,963 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:24:57,205 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:25:00,321 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:30:24,552 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中核矿业科技集团有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:30:39,743 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中核控制系统工程有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:31:13,786 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业华兴建设有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:31:17,503 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业华兴建设有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:31:37,863 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业华兴建设有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:31:56,242 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国核工业二三建设有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:32:48,378 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京神舟航天软件技术股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:32:51,929 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京神舟航天软件技术股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:32:55,254 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京神舟航天软件技术股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:33:03,772 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京神舟航天软件技术股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:33:08,048 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京神舟航天软件技术股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:33:11,181 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=北京神舟航天软件技术股份有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:35:31,153 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=湖南航天有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:35:34,289 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=湖南航天有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:38:05,978 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=航天科工空间工程发展有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:38:52,574 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=海鹰航空通用装备有限责任公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:41:15,345 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航空技术国际控股有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:41:47,033 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中国航空技术国际控股有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:42:05,009 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中航机载系统有限公司, msg: <title>会员登录 - 企查查</title>
2022-11-18 10:42:09,930 - __main__ - INFO - Status: False, Status_code: 200, url: https://www.qcc.com/web/search?key=中航机载系统有限公司, msg: <title>会员登录 - 企查查</title>
