比亚迪股份有限公司
深圳市特力(集团)股份有限公司
富奥汽车零部件股份有限公司
潍柴动力股份有限公司
江铃汽车股份有限公司
万向钱潮股份公司
海马汽车股份有限公司
无锡威孚高科技集团股份有限公司
贵州轮胎股份有限公司
青岛双星股份有限公司
重庆长安汽车股份有限公司
襄阳汽车轴承股份有限公司
江南模塑科技股份有限公司
福建漳州发展股份有限公司
四川浩物机电股份有限公司
一汽解放集团股份有限公司
安徽安凯汽车股份有限公司
安徽中鼎密封件股份有限公司
航天科技控股集团股份有限公司
昆明云内动力股份有限公司
浙江钱江摩托股份有限公司
中国重汽集团济南卡车股份有限公司
中通客车股份有限公司
中国中期投资股份有限公司
铭科精技控股股份有限公司
重庆宗申动力机械股份有限公司
巨轮智能装备股份有限公司
宁波华翔电子股份有限公司
浙江万丰奥威汽轮股份有限公司
广东鸿图科技股份有限公司
深圳信隆健康产业发展股份有限公司
浙江银轮机械股份有限公司
四川成飞集成科技股份有限公司
奥特佳新能源科技股份有限公司
云南西仪工业股份有限公司
天润工业技术股份有限公司
浙江亚太机电股份有限公司
上海新朋实业股份有限公司
兴民智通(集团)股份有限公司
山东隆基机械股份有限公司
许昌远东传动轴股份有限公司
浙江万里扬股份有限公司
中原内配集团股份有限公司
上海加冷松芝汽车空调股份有限公司
浙江双环传动机械股份有限公司
浙江金固股份有限公司
天津汽车模具股份有限公司
旷达科技集团股份有限公司
飞龙汽车部件股份有限公司
海联金汇科技股份有限公司
江苏南方精工股份有限公司
浙江万安科技股份有限公司
南宁八菱科技股份有限公司
北京威卡威汽车零部件股份有限公司
浙江世宝股份有限公司
常州光洋轴承股份有限公司
怀集登云汽配股份有限公司
浙江跃岭股份有限公司
浙农集团股份有限公司
深圳市索菱实业股份有限公司
深圳市路畅科技股份有限公司
浙江今飞凯达轮毂股份有限公司
广东香山衡器集团股份有限公司
惠州市华阳集团股份有限公司
惠州市德赛西威汽车电子股份有限公司
山东联诚精密制造股份有限公司
祥鑫科技股份有限公司
青岛森麒麟轮胎股份有限公司
青岛征和工业股份有限公司
宁波双林汽车部件股份有限公司
广东派生智能科技股份有限公司
山东美晨生态环境股份有限公司
江苏太平洋精锻科技股份有限公司
江苏云意电气股份有限公司
天津鹏翎集团股份有限公司
立中四通轻合金集团股份有限公司
绵阳富临精工股份有限公司
阜新德尔汽车部件股份有限公司
江苏奥力威传感高科股份有限公司
四川川环科技股份有限公司
无锡贝斯特精机股份有限公司
南京奥联汽车电子电器股份有限公司
浙江美力科技股份有限公司
万通智控科技股份有限公司
杭州雷迪克节能科技股份有限公司
无锡隆盛科技股份有限公司
珠海英搏尔电气股份有限公司
无锡蠡湖增压技术股份有限公司
浙江兆丰机电股份有限公司
成都西菱动力科技股份有限公司
南京越博动力系统股份有限公司
深圳欣锐科技股份有限公司
阿尔特汽车技术股份有限公司
宁波卡倍亿电气技术股份有限公司
浙江松原汽车安全系统股份有限公司
江苏博俊工业科技股份有限公司
华安鑫创控股(北京)股份有限公司
宁波恒帅股份有限公司
广东东箭汽车科技股份有限公司
长春致远新能源装备股份有限公司
上海肇民新材料科技股份有限公司
超捷紧固系统(上海)股份有限公司
大连德迈仕精密科技股份有限公司
中集车辆(集团)股份有限公司
江苏中捷精工科技股份有限公司
杭州正强传动股份有限公司
广州市金钟汽车零件股份有限公司
江阴标榜汽车部件股份有限公司
十堰市泰祥实业股份有限公司
中汽研汽车试验场股份有限公司
江苏纽泰格科技股份有限公司
成都盛帮密封件股份有限公司
保定市东利机械制造股份有限公司
东风汽车股份有限公司
宇通客车股份有限公司
东风电子科技股份有限公司
林海股份有限公司
上海汽车集团股份有限公司
长春一东离合器股份有限公司
上海航天汽车机电股份有限公司
北汽福田汽车股份有限公司
哈尔滨东安汽车动力股份有限公司
佳通轮胎股份有限公司
扬州亚星客车股份有限公司
安徽全柴动力股份有限公司
广汇汽车服务集团股份公司
辽宁曙光汽车集团股份有限公司
国机汽车股份有限公司
汉马科技集团股份有限公司
北京巴士传媒股份有限公司
安徽江淮汽车集团股份有限公司
风神轮胎股份有限公司
凌云工业股份有限公司
航天晨光股份有限公司
贵州贵航汽车零部件股份有限公司
金杯汽车股份有限公司
上海申达股份有限公司
辽宁申华控股股份有限公司
福耀玻璃工业集团股份有限公司
上海交运集团股份有限公司
厦门金龙汽车集团股份有限公司
湖南天雁机械股份有限公司
宁波均胜电子股份有限公司
北汽蓝谷新能源科技股份有限公司
华域汽车系统股份有限公司
长春一汽富维汽车零部件股份有限公司
上海新动力汽车科技股份有限公司
爱柯迪股份有限公司
渤海汽车系统股份有限公司
赛轮集团股份有限公司
三角轮胎股份有限公司
广州汽车集团股份有限公司
庞大汽贸集团股份有限公司
长春英利汽车工业股份有限公司
江苏通用科技股份有限公司
长城汽车股份有限公司
宁波拓普集团股份有限公司
郑州煤矿机械集团股份有限公司
力帆科技(集团)股份有限公司
常州星宇车灯股份有限公司
中国汽车工程研究院股份有限公司
山东玲珑轮胎股份有限公司
上海联明机械股份有限公司
上海北特科技股份有限公司
亚普汽车部件股份有限公司
哈尔滨威帝电子股份有限公司
江苏常熟汽饰集团股份有限公司
上海凯众材料科技股份有限公司
杭州新坐标科技股份有限公司
浙江黎明智造股份有限公司
浙江天成自控股份有限公司
浙江正裕工业股份有限公司
上海华培动力科技(集团)股份有限公司
浙江春风动力股份有限公司
常州腾龙汽车零部件股份有限公司
科华控股股份有限公司
桂林福达股份有限公司
宁波圣龙汽车动力系统股份有限公司
江苏新泉汽车饰件股份有限公司
上海保隆汽车科技股份有限公司
常熟通润汽车零部件股份有限公司
晋拓科技股份有限公司
浙江仙通橡塑股份有限公司
宁波天龙电子股份有限公司
江苏日盈电子股份有限公司
华懋(厦门)新材料科技股份有限公司
湖南机油泵股份有限公司
广东迪生力汽配股份有限公司
文灿集团股份有限公司
华达汽车科技股份有限公司
东方时尚驾驶学校股份有限公司
广州通达汽车电气股份有限公司
爱玛科技集团股份有限公司
山东金麒麟股份有限公司
芜湖伯特利汽车安全系统股份有限公司
常州朗博密封科技股份有限公司
浙江德宏汽车电子电器股份有限公司
上海岱美汽车内饰件股份有限公司
重庆秦安机电股份有限公司
隆鑫通用动力股份有限公司
浙江中马传动股份有限公司
合肥常青机械股份有限公司
科博达技术股份有限公司
